time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
74700	0.4524167	0.4776667	0.39975	0.4365	0.4323333	0.5153333	0.4456667	0.4901667	0.5429167	0.4098333	0.42	0.4324167	0.5188333	0.4546667	0.346	0.4150833	0.3244167	0.2974167	0.3105	0.4004167	0.3705
75600	0.4295	0.3971667	0.4549167	0.4449167	0.4418333	0.51975	0.4474167	0.4721667	0.4649167	0.4690833	0.4303333	0.4381667	0.516	0.45275	0.3249167	0.3365833	0.3819167	0.3086667	0.3173333	0.40175	0.3693333
76500	0.4438333	0.4135833	0.4563333	0.4453333	0.4239167	0.4505	0.4989167	0.4880833	0.4713333	0.4628333	0.42825	0.4253333	0.4411667	0.5098333	0.3415833	0.3465	0.3833333	0.3108333	0.30425	0.33075	0.4253333
77400	0.44875	0.39575	0.3836667	0.4998333	0.4335	0.4583333	0.5035	0.48775	0.4546667	0.3889167	0.486	0.4344167	0.4528333	0.5094167	0.34225	0.3293333	0.3053333	0.3685833	0.3145833	0.3406667	0.4285
78300	0.5066667	0.4091667	0.3906667	0.4985833	0.4358333	0.4433333	0.43225	0.5511667	0.4676667	0.3999167	0.4814167	0.4366667	0.43625	0.4330833	0.4039167	0.346	0.3151667	0.3699167	0.3173333	0.3256667	0.3543333
79200	0.5075	0.41275	0.3724167	0.4220833	0.4914167	0.4580833	0.4428333	0.5488333	0.4710833	0.383	0.40625	0.491	0.4475	0.4481667	0.4043333	0.3475	0.2988333	0.2965833	0.3761667	0.3371667	0.3683333
80100	0.4283333	0.47075	0.3858333	0.429	0.4916667	0.45425	0.42625	0.46825	0.5314167	0.3970833	0.4094167	0.4921667	0.4483333	0.4278333	0.3234167	0.4064167	0.3125833	0.30725	0.375	0.3393333	0.34975
81000	0.4361667	0.473	0.386	0.4100833	0.4208333	0.5126667	0.4395833	0.4764167	0.5305	0.3983333	0.3945833	0.4178333	0.5006667	0.44475	0.3318333	0.407	0.3145	0.2914167	0.30425	0.3944167	0.3635833
81900	0.4183333	0.3969167	0.4464167	0.4210833	0.4273333	0.5134167	0.4419167	0.4545	0.4525	0.4528333	0.4056667	0.42525	0.4988333	0.4449167	0.3123333	0.3284167	0.373	0.304	0.3119167	0.39525	0.3660833
82800	0.4316667	0.4089167	0.4481667	0.4175	0.4080833	0.4421667	0.49375	0.4715	0.4584167	0.4536667	0.4029167	0.41	0.42725	0.498	0.3268333	0.34025	0.3728333	0.306	0.2971667	0.3243333	0.4190833
83700	0.4330833	0.3896667	0.3705833	0.4735833	0.4215833	0.44825	0.4965	0.4701667	0.4421667	0.3775	0.46	0.4221667	0.4330833	0.5013333	0.3293333	0.32075	0.298	0.3626667	0.3101667	0.3331667	0.4225
84600	0.4916667	0.4053333	0.37825	0.4729167	0.4199167	0.4321667	0.4250833	0.5316667	0.4574167	0.3890833	0.4561667	0.4198333	0.4185833	0.4264167	0.3885	0.3381667	0.3066667	0.36375	0.3108333	0.31725	0.3495833
85500	0.4921667	0.404	0.3643333	0.3955	0.4801667	0.4436667	0.4344167	0.5321667	0.456	0.3740833	0.3799167	0.478	0.4278333	0.4373333	0.3899167	0.33825	0.2929167	0.2910833	0.3695	0.3295	0.3613333
